As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
01-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",9,90
01-04-2020,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",5,45
01-04-2020,3,3,2,All American,TV Show,,"Mar 28, 2019",9,76
01-04-2020,4,4,-,Blood Father,Movie,,"Mar 26, 2020",5,30
01-04-2020,5,5,4,The Platform,Movie,Yes,"Mar 20, 2020",9,55
01-04-2020,6,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",4,14
01-04-2020,7,10,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",2,5
01-04-2020,8,7,5,Love is Blind,TV Show,Yes,"Feb 13, 2020",9,40
01-04-2020,9,8,-,Badland,Movie,,"Mar 26, 2020",4,11
01-04-2020,10,9,-,Uncorked,Movie,Yes,"Mar 27, 2020",4,15
02-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",10,100
02-04-2020,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",6,54
02-04-2020,3,3,2,All American,TV Show,,"Mar 28, 2019",10,84
02-04-2020,4,-,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",1,7
02-04-2020,5,-,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",1,6
02-04-2020,6,4,-,Blood Father,Movie,,"Mar 26, 2020",6,35
02-04-2020,7,-,-,The Roommate,Movie,,"Apr 1, 2020",1,4
02-04-2020,8,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",3,8
02-04-2020,9,5,4,The Platform,Movie,Yes,"Mar 20, 2020",10,57
02-04-2020,10,6,-,Car Masters: Rust to Riches,TV Show,Yes,"Sep 14, 2018",5,15
03-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",11,110
03-04-2020,2,2,-,Ozark,TV Show,Yes,"Jul 21, 2017",7,63
03-04-2020,3,3,2,All American,TV Show,,"Mar 28, 2019",11,92
03-04-2020,4,5,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",2,13
03-04-2020,5,4,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",2,13
03-04-2020,6,7,-,The Roommate,Movie,,"Apr 1, 2020",2,9
03-04-2020,7,8,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",4,12
03-04-2020,8,-,-,The Players Club,Movie,,"Apr 1, 2020",1,3
03-04-2020,9,-,-,Salt,Movie,,"Apr 1, 2020",1,2
03-04-2020,10,6,-,Blood Father,Movie,,"Mar 26, 2020",7,36
04-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",12,120
04-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",8,72
04-04-2020,3,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",1,8
04-04-2020,4,3,3,All American,TV Show,,"Mar 28, 2019",12,99
04-04-2020,5,-,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",1,6
04-04-2020,6,4,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",3,18
04-04-2020,7,6,-,The Roommate,Movie,,"Apr 1, 2020",3,13
04-04-2020,8,5,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",3,16
04-04-2020,9,7,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",5,14
04-04-2020,10,8,-,The Players Club,Movie,,"Apr 1, 2020",2,4
05-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",13,130
05-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",9,81
05-04-2020,3,5,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",2,14
05-04-2020,4,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",2,15
05-04-2020,5,4,3,All American,TV Show,,"Mar 28, 2019",13,105
05-04-2020,6,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",4,23
05-04-2020,7,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",4,20
05-04-2020,8,7,-,The Roommate,Movie,,"Apr 1, 2020",4,16
05-04-2020,9,-,-,Angel Has Fallen,Movie,,"Apr 4, 2020",1,2
05-04-2020,10,9,-,Unorthodox,TV Show,Yes,"Mar 26, 2020",6,15
06-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",14,140
06-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",10,90
06-04-2020,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",3,22
06-04-2020,4,9,-,Angel Has Fallen,Movie,,"Apr 4, 2020",2,9
06-04-2020,5,4,-,Money Heist,TV Show,Yes,"Dec 20, 2017",3,21
06-04-2020,6,5,3,All American,TV Show,,"Mar 28, 2019",14,110
06-04-2020,7,6,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",5,27
06-04-2020,8,7,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",5,23
06-04-2020,9,8,-,The Roommate,Movie,,"Apr 1, 2020",5,18
06-04-2020,10,-,-,The Hangover,Movie,,"Jul 1, 2019",1,1
07-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",15,150
07-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",11,99
07-04-2020,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",4,30
07-04-2020,4,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",3,16
07-04-2020,5,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",4,27
07-04-2020,6,6,3,All American,TV Show,,"Mar 28, 2019",15,115
07-04-2020,7,-,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",1,4
07-04-2020,8,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",6,26
07-04-2020,9,7,-,How to Fix a Drug Scandal,TV Show,Yes,"Apr 1, 2020",6,29
07-04-2020,10,-,-,Legacies,TV Show,,"Apr 5, 2019",1,1
08-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",16,160
08-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",12,108
08-04-2020,3,3,-,Coffee & Kareem,Movie,Yes,"Apr 3, 2020",5,38
08-04-2020,4,7,-,The Big Show Show,TV Show,Yes,"Apr 6, 2020",2,11
08-04-2020,5,4,-,Angel Has Fallen,Movie,,"Apr 4, 2020",4,22
08-04-2020,6,5,-,Money Heist,TV Show,Yes,"Dec 20, 2017",5,32
08-04-2020,7,6,3,All American,TV Show,,"Mar 28, 2019",16,119
08-04-2020,8,10,-,Legacies,TV Show,,"Apr 5, 2019",2,4
08-04-2020,9,8,-,Nailed It!,TV Show,Yes,"Mar 9, 2018",7,28
08-04-2020,10,-,-,The Hangover,Movie,,"Jul 1, 2019",2,2
09-04-2020,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,"Mar 20, 2020",17,170
09-04-2020,2,2,2,Ozark,TV Show,Yes,"Jul 21, 2017",13,117
